exp_name,model_name,train_clean_accuracy,train_clean_f1,train_clean_roc_auc,original_test_accuracy,original_test_f1,original_test_roc_auc,replication_accuracy,replication_precision,replication_recall,replication_f1,replication_roc_auc,replication_loss,train_replication_f1_gap,replication_original_f1_delta,replication_f1_ci_low,replication_f1_ci_high,train_replication_f1_gap_ci_low,train_replication_f1_gap_ci_high,replication_original_f1_delta_ci_low,replication_original_f1_delta_ci_high,replication_rank
E0_mobilenetv2_noaug_frozen,mobilenet_v2,0.9534375,0.9540265350200555,0.99070205078125,0.941,0.941699604743083,0.9865010000000001,0.939,0.9278752436647173,0.952,0.9397828232971372,0.985216,0.173046845972538,0.014243711722918273,-0.0019167814459457588,0.9307365325353378,0.949187241339988,0.0033398850508485857,0.025289334658326907,-0.014439055302116484,0.011608935062795435,4
E1_mobilenetv2_aug_frozen,mobilenet_v2,0.9421875,0.9417139256458728,0.985683984375,0.932,0.9306829765545361,0.984016,0.928,0.9376278118609407,0.917,0.9271991911021233,0.980269,0.2104236136674881,0.014514734543749408,-0.003483785452412791,0.915491709752184,0.9393375986425392,0.0011165636242020042,0.02746719227305955,-0.019635899991278394,0.013569714093478374,5
E2_convnext_tiny_aug_frozen,convnext_tiny,0.98671875,0.9867000469410108,0.9989478515624999,0.9785,0.9784677015523285,0.9975430000000001,0.971,0.9691235059760956,0.973,0.9710578842315369,0.995602,0.08343905287981034,0.015642162709473828,-0.007409817320791601,0.9630305178692276,0.978021978021978,0.008227085053134495,0.024027626086124725,-0.017380121554198324,0.0016070318598213913,3
E3_convnext_tiny_aug_laststage,convnext_tiny,0.99984375,0.9998437255821222,1.0,0.992,0.992,0.9994850000000001,0.99,0.9919678714859438,0.988,0.9899799599198397,0.999523,0.03612117962259799,0.009863765662282531,-0.0020200400801603235,0.9855209931475972,0.993993993993994,0.005849731588128182,0.014167866448762388,-0.008060316043743401,0.003529771784408947,1
E4_convnext_tiny_se_aug_laststage,convnext_tiny_se,1.0,1.0,1.0,0.992,0.9920079920079921,0.999307,0.9895,0.9880358923230309,0.991,0.9895157264103844,0.999585,0.032067232798988696,0.010484273589615567,-0.0024922655976076236,0.9850299401197605,0.993516532213518,0.006483467786482003,0.014970059880239472,-0.00804655344680413,0.0034687164913532456,2
