epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_loss,lr
1,0.8953125,0.8729363207547169,0.9253125,0.8983616504854369,0.963365576171875,0.321380510032177,0.93375,0.9460154241645244,0.92,0.9328263624841572,0.9856843750000001,0.1980055010318756,0.001
2,0.954375,0.9512725015518312,0.9578125,0.9545312986608533,0.990797802734375,0.15943550618365407,0.9525,0.960559796437659,0.94375,0.9520807061790668,0.990703125,0.1439077500998974,0.001
3,0.96421875,0.9566553950199815,0.9725,0.9645126297845963,0.9942150390625001,0.12074737119488418,0.959375,0.9565217391304348,0.9625,0.9595015576323987,0.9924890624999999,0.12071454487740993,0.001
4,0.9709375,0.9651234567901235,0.9771875,0.9711180124223603,0.9960267578124999,0.09891185129061342,0.963125,0.9660377358490566,0.96,0.9630094043887147,0.99335,0.10833903431892394,0.001
5,0.9753125,0.9738317757009346,0.976875,0.9753510140405616,0.9966825683593751,0.0859479942265898,0.966875,0.9686323713927227,0.965,0.9668127739511584,0.9941578125,0.09903403051197529,0.001
6,0.97453125,0.9696875966594495,0.9796875,0.9746618995802891,0.99700458984375,0.07988944112323225,0.96625,0.9745547073791349,0.9575,0.9659520807061791,0.99446875,0.09769882000982762,0.001
7,0.97734375,0.9742316050915865,0.980625,0.9774178476872761,0.9980047363281249,0.06975320926867426,0.968125,0.9734513274336283,0.9625,0.9679446888749215,0.9945609375,0.09211007677018643,0.001
8,0.979375,0.977286869943995,0.9815625,0.9794200187090739,0.9977022460937499,0.06761884368024766,0.96875,0.9758883248730964,0.96125,0.9685138539042821,0.9949671875,0.08796488106250763,0.001
