epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_loss,lr
1,0.84703125,0.8513128756722557,0.8409375,0.8460933815437824,0.925819580078125,0.43135262429714205,0.8925,0.893483709273183,0.89125,0.8923654568210263,0.963384375,0.3138451051712036,0.001
2,0.89796875,0.8948837209302326,0.901875,0.8983657587548638,0.96145732421875,0.2936999221891165,0.915,0.9267352185089974,0.90125,0.9138149556400507,0.9749375000000001,0.24956241697072984,0.001
3,0.9059375,0.8987108655616943,0.915,0.9067822855373181,0.9683916015625,0.25461180359125135,0.929375,0.9277708592777086,0.93125,0.9295071740486588,0.9805265625,0.21856139451265336,0.001
4,0.9190625,0.9136335595311537,0.925625,0.9195901893821794,0.9732166015625,0.23055152282118796,0.93,0.9321608040201005,0.9275,0.9298245614035088,0.9813421875,0.20464922696352006,0.001
5,0.92140625,0.9173630454967502,0.92625,0.9217851034053802,0.97505224609375,0.2181404436379671,0.93125,0.9176755447941889,0.9475,0.932349323493235,0.9835999999999999,0.19161235436797142,0.001
6,0.9215625,0.9158446362515413,0.9284375,0.9220980757293606,0.9761071289062501,0.21129452649503946,0.935625,0.9214026602176542,0.9525,0.9366933005531654,0.9849265625,0.18004493102431296,0.001
7,0.9203125,0.9148673658235656,0.926875,0.9208320397392115,0.9787251953125,0.19924624118953943,0.934375,0.9306071871127634,0.93875,0.9346608587429994,0.9850890625000001,0.1748247528076172,0.001
8,0.92015625,0.9145852605612088,0.926875,0.9206891199751669,0.9765013671874999,0.2048962936550379,0.936875,0.9226118500604595,0.95375,0.9379225568531039,0.9856562499999999,0.17206756979227067,0.001
