epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_loss,lr
1,0.9125,0.904659717964439,0.9221875,0.9133395233673786,0.9760779296875,0.21422522481530903,0.975,0.9884318766066839,0.96125,0.9746514575411914,0.9979421875,0.06499273309484124,0.0001
2,0.9865625,0.9856519026824704,0.9875,0.986575085857009,0.9987796386718749,0.044248521719127895,0.985625,0.9949044585987261,0.97625,0.9854889589905362,0.999459375,0.03902686625719071,0.0001
3,0.99515625,0.9943837753510141,0.9959375,0.995160031225605,0.99987421875,0.017941176109598018,0.98875,0.9974554707379135,0.98,0.9886506935687264,0.999571875,0.029727272925665602,0.0001
4,0.9959375,0.9959375,0.9959375,0.9959375,0.99990693359375,0.013542307128664105,0.98875,0.9936868686868687,0.98375,0.9886934673366834,0.999475,0.032746580976236145,0.0001
5,0.99734375,0.9968779269434904,0.9978125,0.9973449945338123,0.9999674804687501,0.00935737545863958,0.989375,0.9887640449438202,0.99,0.9893816364772018,0.99965,0.027525678486854305,0.0001
6,0.99875,0.9993742177722152,0.998125,0.9987492182614134,0.999957958984375,0.006941652397181315,0.991875,0.9962168978562421,0.9875,0.9918392969240427,0.999725,0.024231067495275056,0.0001
7,0.99734375,0.9968779269434904,0.9978125,0.9973449945338123,0.99995302734375,0.008768942721835628,0.98875,0.986318407960199,0.99125,0.9887780548628429,0.9993671875,0.03630602782315691,0.0001
8,0.99765625,0.9971901342491414,0.998125,0.9976573481180696,0.99994765625,0.007567669444470084,0.98875,0.9961928934010152,0.98125,0.9886649874055415,0.9994578125000001,0.03313418952107895,3e-05
