epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_loss,lr
1,0.83796875,0.8310376492194674,0.8484375,0.8396474408535642,0.92136376953125,0.4362342344224453,0.89375,0.8850855745721271,0.905,0.8949320148331273,0.9640437499999999,0.3186113277077675,0.001
2,0.9003125,0.8919828641370869,0.9109375,0.9013605442176871,0.9653071777343749,0.28486802980303766,0.9075,0.9116161616161617,0.9025,0.907035175879397,0.9714546875,0.2600362282991409,0.001
3,0.90703125,0.901386748844376,0.9140625,0.9076803723816912,0.967614794921875,0.25635345458984377,0.92375,0.9357326478149101,0.91,0.9226869455006337,0.978334375,0.2288864493370056,0.001
4,0.9140625,0.9061925199264255,0.92375,0.9148870318786754,0.973541015625,0.2282531677186489,0.9325,0.9413265306122449,0.9225,0.9318181818181818,0.9824812499999999,0.20512816309928894,0.001
5,0.92015625,0.9174169512573734,0.9234375,0.9204173804703317,0.9765582031250001,0.21421270918101074,0.93125,0.9367088607594937,0.925,0.9308176100628931,0.98149375,0.2004901035130024,0.001
6,0.92125,0.9178549287042778,0.9253125,0.9215686274509803,0.9762378906249999,0.2105231299996376,0.928125,0.9442282749675746,0.91,0.9267982176957352,0.9823390625,0.19361880108714102,0.0003
7,0.9225,0.9217092950717405,0.9234375,0.9225725881985638,0.9776477050781249,0.20271408721804618,0.92625,0.9405684754521964,0.91,0.9250317662007624,0.9809296875,0.19818197920918465,0.0003
