exp_name,model_name,mode,augment,best_epoch,best_val_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_loss,trainable_params,time_min
E4_convnext_tiny_se_aug_laststage,convnext_tiny_se,last_stage,True,6,0.9918392969240427,0.991875,0.9962168978562421,0.9875,0.9918392969240427,0.999725,0.024231067495275056,0.992,0.9910179640718563,0.993,0.9920079920079921,0.999307,0.035365884023427496,14365441,2.383227647966669
E3_convnext_tiny_aug_laststage,convnext_tiny,last_stage,True,6,0.9899497487437185,0.99,0.9949494949494949,0.985,0.9899497487437185,0.9994046875,0.03720510295621352,0.992,0.992,0.992,0.992,0.9994850000000001,0.032532396182185036,14291713,2.3163509549666665
E2_convnext_tiny_aug_frozen,convnext_tiny,frozen,True,8,0.9685138539042821,0.96875,0.9758883248730964,0.96125,0.9685138539042821,0.9949671875,0.08796488106250763,0.9785,0.9799398194583752,0.977,0.9784677015523285,0.9975430000000001,0.06717077280580998,2305,2.0022654351333284
E0_mobilenetv2_noaug_frozen,mobilenet_v2,frozen,False,8,0.9379225568531039,0.936875,0.9226118500604595,0.95375,0.9379225568531039,0.9856562499999999,0.17206756979227067,0.941,0.9306640625,0.953,0.941699604743083,0.9865010000000001,0.1686361880302429,1281,1.2755320776666699
E1_mobilenetv2_aug_frozen,mobilenet_v2,frozen,True,4,0.9318181818181818,0.9325,0.9413265306122449,0.9225,0.9318181818181818,0.9824812499999999,0.20512816309928894,0.932,0.9490644490644491,0.913,0.9306829765545361,0.984016,0.19864894902706146,1281,1.186286753599999
